annotation_id,customer_tweet_id,customer_created_at,customer_text,support_tweet_id,support_created_at,support_reply,exploratory_cluster,intent,reviewer_notes,escalation_expected,golden_eval,draft_intent,draft_score,draft_margin,draft_hit,ml_intent,ml_conf
AQ-0018,91328,Fri Dec 01 05:43:07 +0000 2017,"@AmazonHelp i did this same thing 2 times , why your team is not looking into this ?",91329,Fri Dec 01 06:00:00 +0000 2017,@135808 I'd like to have a closer look at the cashback issue. Please share your details in this link here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^KA,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,account_technical_support,0.20708247469090507
AQ-0019,78856,Thu Nov 30 13:49:56 +0000 2017,@AmazonHelp Thanks.,78857,Thu Nov 30 13:53:33 +0000 2017,@133582 You're most welcome. ^CB,,other_ambiguous,"AI-assisted draft: message is non-actionable, off-taxonomy, conversational, or insufficiently specific; human verification required.",,,other_ambiguous,5,5,,other_ambiguous,0.27915219979410416
AQ-0020,73549,Thu Nov 30 06:52:52 +0000 2017,@115821 you guys are great but @115817 makes you look bad.,73548,Thu Nov 30 07:00:31 +0000 2017,@132446 We definitely want to do what we can to help! Are you waiting on a current order from us: https://t.co/Y5jpI9gRhE ? ^NN,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,account_technical_support,0.2017207939711302
AQ-0021,5302,Sat Nov 25 23:47:19 +0000 2017,砂来のウィッグ コロネロの使える思ってのんびりしてたら、家が引越し荷物だらけで探せなかったんは焦ったわぁ (Amazonで頼んで昨日届いたありがとうprime),5301,Sun Nov 26 00:16:31 +0000 2017,@116930 Amazonをご利用いただき、ありがとうございます！ またのご利用お待ちしております(*´︶`*) TY,,other_ambiguous,"AI-assisted draft: message is non-actionable, off-taxonomy, conversational, or insufficiently specific; human verification required.",,,prime_subscription,5,5,,other_ambiguous,0.2858243714548288
AQ-0022,13567,Tue Oct 31 07:16:21 +0000 2017,@115821 it’s not nice to upset a kid (my daughter) on Halloween waitin’ for her dress it was prime and extra paid and you guys failed her !,13566,Tue Oct 31 08:00:00 +0000 2017,@118829 I'm sorry for the delay in delivery. Could you let us know from which website did you make the purchase? ^RW,,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,prime_subscription,6,5,\bprime\b,delivery_delay,0.24882353333700027
AQ-0023,16115,Wed Nov 01 03:33:45 +0000 2017,@AmazonHelp Ur customer care didnt provide me a correct answer,16114,Wed Nov 01 03:38:06 +0000 2017,@119535 I'm sorry about the experience. Kindly share your details here: https://t.co/beaaDm0muc and we'll check. ^GK,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,1,1,customer care,account_technical_support,0.21367228095315807
AQ-0024,35169,Wed Nov 01 13:27:18 +0000 2017,"@115821, are you getting too big for great service? Amazon logistics is failing your company. Fed up with the lousy delivery service lately!",35168,Wed Nov 01 13:38:02 +0000 2017,"@123658 I'm sorry for any poor delivery experiences you've had. Without account details, can you tell us more about what's happened? ^RA",,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,5,5,\blate,delivery_delay,0.2378022673265791
AQ-0025,28966,Wed Nov 01 10:36:45 +0000 2017,"@115850 @115851 @1840 pathetic service for Amazon business, bihmsen service representative can't even put me touch with manager.",28964,Wed Nov 01 10:59:35 +0000 2017,@122372 Sorry for the trouble. Please share your details here: https://t.co/GIJyeYqKE0 &amp; we'll get in touch with you soon. ^BS,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,5,3,,account_technical_support,0.20882896481521843
AQ-0026,6960,Sun Nov 19 18:10:42 +0000 2017,@AmazonHelp Or you can provide me with a direct dial number and I’ll call it now,6962,Sun Nov 19 18:52:00 +0000 2017,@117198 Hi there! We are not able to see customer's account information here on Twitter. Please reach out to us by calling 866-216-1072 and keep us updated on the outcome! ^SP,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,1,1,call,account_technical_support,0.20859229293009116
AQ-0027,16470,Wed Nov 01 03:28:20 +0000 2017,@115850 do u think human cloning is real? I am sitting @ home and you tell me I rcvd a package and signed 4 it too. I didn't. Only explntn,16469,Wed Nov 01 03:47:35 +0000 2017,@119628 https://t.co/r8OjOjMdND and we'll look into this for you. (2/2) ^VM,,delivery_attempt_problem,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,1,1,human,delivery_attempt_problem,0.25992559975662216
AQ-0028,52901,Wed Nov 01 18:38:24 +0000 2017,"@115850 Why you guys update tracking status as ""delivered"" without actually delivering the product? Tracking #:511367948985",52900,Wed Nov 01 18:43:01 +0000 2017,"@127911 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^MK",,delivery_attempt_problem,AI-assisted draft label; human verification required before use as golden evaluation.,,,order_status_tracking,6,6,"\btracking\b, update.*status",delivery_attempt_problem,0.27903477332606275
AQ-0029,4849,Thu Nov 02 15:04:55 +0000 2017,"@AmazonHelp how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me https://t.co/jhzCjY2bOw",4851,Thu Nov 02 15:12:37 +0000 2017,@116849 We want our team to investigate this further with you. Please reach out to us using the secure link: https://t.co/m1LX91jiEQ,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,3,3,"call, phone, help me",account_technical_support,0.21084127581117842
AQ-0030,2594,Tue Oct 31 20:18:44 +0000 2017,@AmazonHelp Want to speak to someone at corp to address these issues.,2592,Tue Oct 31 20:35:32 +0000 2017,@116325 Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF https://t.co/1XyLaGkcaN,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,account_technical_support,0.20266153555171498
AQ-0031,25896,Tue Nov 07 04:15:18 +0000 2017,"@AmazonHelp I clicked ""NO"" on whether the issue was resolved. And once again narrated my prob in online feedback portal. Customer service is abysmal",25897,Tue Nov 07 04:41:55 +0000 2017,"@121656 I understand your upset, may I know if you've replied to the email sent by the Social Media team? ^EM",,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,3,3,"customer service, resolve, resolved",account_technical_support,0.2163480396814046
AQ-0032,91536,Thu Nov 30 02:04:55 +0000 2017,It’s not good when it’s not even December and @115821 is already whiffing “guaranteed” delivery deadlines using their own logistics branch.,91534,Thu Nov 30 02:07:33 +0000 2017,@135842 Are you currently waiting on an outstanding order? Please let us know. We'd love to help! ^JS,,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,6,6,"delivery.*deadline, guaranteed.*delivery",delivery_delay,0.24452601843187408
AQ-0033,14293,Wed Nov 01 03:08:02 +0000 2017,@AmazonHelp Yes. You definitely missed my delivery date. Twice. Also your call center staff seems to have no understanding of how mail delivery works.,14295,Wed Nov 01 03:24:42 +0000 2017,@119041 I certainly understand your frustration! Who was the carrier for these orders? Please check here: https://t.co/Y5jpI9gRhE ^BE,,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,7,6,"missed.*delivery, miss.*delivery, delivery date",delivery_delay,0.23933595414045258
AQ-0034,22574,Wed Nov 01 08:08:11 +0000 2017,That's @AmazonHelp return experience summed up in 2 images. The pick up person has been rescheduling and cancelling on his own. @115850 https://t.co/fM0w6AUv1t,22573,Wed Nov 01 08:34:00 +0000 2017,"@120932 Sorry about that. I’d like to help you, please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. 1/2 ^SY",,return_replacement,AI-assisted draft label; human verification required before use as golden evaluation.,,,return_replacement,6,6,"\breturn\b, pick\s*up",return_replacement,0.3395455595716835
AQ-0035,62389,Sun Nov 26 00:35:12 +0000 2017,Amazonで毎回思うけどダンボールでかすぎだとおもうよ。 https://t.co/rJ0iIGj1J4,62388,Sun Nov 26 01:03:52 +0000 2017,@130294 ツイート拝見させていただきました。Amazonです。 お届けした商品の梱包状態について適切ではないとお感じになられた場合は、今後の改善のため以下のリンクから「梱包についてのご意見」より感想やご意見をお送りください。https://t.co/KtF9HIYvh9 TY,,product_item_issue,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,product_item_issue,0.31180274916001754
AQ-0036,67450,Thu Nov 30 09:07:04 +0000 2017,Amazonでお買い物した記憶ないのに荷物来るー何来るのー,67449,Thu Nov 30 09:24:00 +0000 2017,@131407 心当たりの無い商品が届くとの事ですが、注文履歴をご確認頂いても該当はありませんでしょうか？ https://t.co/3Rjyic5riB また、第三者がお客様宛にご注文したという可能性もあります。確認をご希望の場合はこちらからカスタマーサービスまでお問合せ下さい。 https://t.co/7XcR3DJJ71 EK,,other_ambiguous,"AI-assisted draft: message is non-actionable, off-taxonomy, conversational, or insufficiently specific; human verification required.",,,other_ambiguous,1,1,,other_ambiguous,0.2858243714548288
AQ-0037,18137,Wed Nov 01 05:22:05 +0000 2017,"@115850 @2036 @120033 Beware of Amazon, de sell old stocks 2015 &amp; b4 on lightining sales 2 liquidate their inventory which r unreturnable https://t.co/u1318Bv12T",18135,Wed Nov 01 05:27:00 +0000 2017,@120032 We've responded to your query here: https://t.co/dqlxgCvPWP ^AK,,product_item_issue,AI-assisted draft label; human verification required before use as golden evaluation.,,,product_item_issue,1,1,old stock,product_item_issue,0.3031510647915787
AQ-0038,3740,Tue Oct 31 22:49:24 +0000 2017,"@AmazonHelp na ultima atualização da entrega do meu pedido, consta que não foi possível localizar o meu endereço, poderia ajudar?",3739,Tue Oct 31 23:04:57 +0000 2017,@116614 Olá Georgiano. Sinto muito em saber disso. Por favor entre em contato com o nosso SAC no seguinte link: https://t.co/ouAOLcNWp4 ^JJ,,delivery_attempt_problem,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,delivery_attempt_problem,0.27699647212066586
AQ-0039,43295,Wed Nov 01 15:23:12 +0000 2017,"@115821 And this is the review that was posted. I, Leshai Johnson, can confirm that I did not buy or review this item https://t.co/1ZQaXlkNZ4",43293,Wed Nov 01 16:01:52 +0000 2017,@125594 How odd!? Do you have any family or friends that have access to your account? We'd like to help! ^KJ,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,account_technical_support,0.20080534228809577
AQ-0040,52193,Wed Nov 01 18:12:17 +0000 2017,"@AmazonHelp hi , i bought the pre load version of ww2 for ps4 and i wanted to know when will i get the 2xp code",52191,Wed Nov 01 18:27:31 +0000 2017,"@127737 If you don't receive the code by the end of the day tomorrow, please reach out to us here: https://t.co/hApLpMlfHN ^WT",,product_item_issue,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,1,1,when.*get,product_item_issue,0.2882588188787693
AQ-0041,28913,Wed Nov 01 11:59:34 +0000 2017,@AmazonHelp I got d mail.but the r asking for mobile bill electricirty bill..but i have none of these.tranefr my money in bank,28936,Wed Nov 01 12:15:00 +0000 2017,"@122366 I understand your concern. However, as you've received an email from our specialist team. I'd request you to 1/2 ^KH",,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,payment_billing,2,2,"bank, bill",account_technical_support,0.2027709379822531
AQ-0042,63879,Thu Nov 30 09:01:53 +0000 2017,"@AmazonHelp @Tesco But I can not cancel the order, you can not deliver the order on time (you have had 7 days to dispatch it) and you can not tell me when it will arrive. .... What exactly do I commit to £3k spending and a £79 a year membership for?",63880,Thu Nov 30 09:09:53 +0000 2017,@130675 Have you received a dispatch email yet Darren? ^MI,,order_change_cancellation,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,7,0,"when.*arrive, not.*ship, dispatch",order_change_cancellation,0.5727954762654593
AQ-0043,19435,Wed Nov 01 06:31:11 +0000 2017,"@AmazonHelp Arriving Today: Your package with Dell KM117 Wireless Keyboard Mouse is out for delivery.Amt: Rs.1,399. https://t.co/JuXkvDFU1Q",19433,Wed Nov 01 06:43:00 +0000 2017,"@120316 When the product is out for delivery, it will be delivered before 8 pm. Kindly wait until then. Do keep us posted. ^AK",,order_status_tracking,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,6,6,"arriving, out for delivery",order_status_tracking,0.437749286733098
AQ-0044,13191,Wed Nov 01 01:41:02 +0000 2017,Amazonの使い方が難しく感じます わけわかめ ちゃんと頼めてんのかね,13190,Wed Nov 01 01:47:29 +0000 2017,@118711 おはようございます。Amazonです。 ご注文確定済の場合には、注文履歴にて確認できますので、下記URLにてご確認ください。https://t.co/5Uadfd0Km8 なお、ご不明な点がありましたら、ご遠慮なくお知らせください(#^.^#)TY,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,account_technical_support,0.20671033695227747
AQ-0045,91287,Thu Nov 30 21:25:56 +0000 2017,"@AmazonHelp Yes, reported every one of the above. Multiple times &amp;requested a reason for 'failed to deliver'. Had 2 products re-ordered twice, but most just get a 'refund' notice- no further action, usually a week or two later after being PROMISED it will be delivered 24-48 hours later...",91288,Thu Nov 30 21:30:28 +0000 2017,@135797 We'd like a member of our team to look into this with you. Please fill in your details here: https://t.co/I40Lb1RvgX so we can look take a closer look. ^MT,,delivery_attempt_problem,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_attempt_problem,6,0,failed to deliver,delivery_attempt_problem,0.2716666887787916
AQ-0046,73587,Thu Nov 30 10:22:30 +0000 2017,"Trop énorme la surprise offerte par @AmazonHelp ! Hâte de rentrer pour montrer le tunnel et les jouets à Kuro, il l'aura bien mérité après toutes ces commandes ! ;) Merci à @4087 d'avoir été le chercher à la poste ❤ https://t.co/rzboFwwJM7",73585,Thu Nov 30 10:42:32 +0000 2017,@132456 😍😍 N'hésitez pas à partager avec nous d'autres photos 😉,,other_ambiguous,"AI-assisted draft: message is non-actionable, off-taxonomy, conversational, or insufficiently specific; human verification required.",,,other_ambiguous,1,1,,other_ambiguous,0.2835026329201769
AQ-0047,17263,Fri Oct 20 11:06:53 +0000 2017,"@115850 last time i seek assistance n the same issue prevail today. whn you cnt gv service thn say no, why giving headache 2 customers?",17261,Fri Oct 20 11:09:27 +0000 2017,"@119798 Apologies. Kindly let us know, where did we go wrong. We would like to make things right for you. ^CB",,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,account_technical_support,0.20950286211727923
AQ-0048,51587,Wed Nov 01 17:46:42 +0000 2017,This is the 2nd time I've ordered THIS ORDER And got something completely different I'm sick of paying for what I'm not getting . @115821 https://t.co/87htjOHKf2,51586,Wed Nov 01 18:05:32 +0000 2017,@127578 I'm sorry you received the wrong item! Have you reached out to the seller for more insight: https://t.co/PyACxvGxrO? ^ME,,product_item_issue,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,product_item_issue,0.2979862193233881
AQ-0049,29522,Wed Nov 01 16:07:49 +0000 2017,"@AmazonHelp Using my own brain, I selected a different language and after multiple attempts I was able to reach a human voice.",29523,Wed Nov 01 16:37:39 +0000 2017,@122486 Apologies for the trouble. We'll consider this instance as feedback and will work on it for improvements. ^SU,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,1,1,human,account_technical_support,0.2019432492735651
AQ-0050,75836,Thu Nov 30 11:52:15 +0000 2017,@AmazonHelp What shortly?? Only 2.5 hours remaining for delivery time over and it is impossible you to deliver my package at my door step better to use @118702 @115851 @132981,75834,Thu Nov 30 11:56:00 +0000 2017,@132980 We don't have direct access to your Amazon account over Twitter. Please share your information over the link. We'll do our best to make things right. ^CB,,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,1,1,delivery.*time,delivery_delay,0.249737386660497
AQ-0051,18195,Sun Nov 05 13:03:17 +0000 2017,"@AmazonHelp @115850 @120040 I have mailed 3-4 times after that but i am still getting the same standard email, exact same mail",18196,Sun Nov 05 13:30:24 +0000 2017,@120039 You can add your insight by writing back to the e-mail sent by our team. We'll reply to the same. ^MP 2/2,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,1,1,email,account_technical_support,0.1618379364907884
AQ-0052,91445,Thu Nov 30 14:48:00 +0000 2017,My @115830 @AmazonHelp package says it is arriving today but it hasn't updated to say it is out for delivery. Should I be concerned?,91444,Thu Nov 30 15:01:00 +0000 2017,"@135821 I'm sorry for the trouble! We don't have access to account information via Twitter, but we'd still like to help. What does the current tracking information state here: https://t.co/aaDyEz1VgE? Let us know! ^TG",,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,6,6,"arriving, out for delivery",delivery_delay,0.1675202745311106
AQ-0053,67521,Thu Nov 30 09:09:37 +0000 2017,"No se que pasa con el servicio de mensajería de @116928 ,, mi ultimos tres pedidos,, llegan con retraso. El 1° una semana El 2° una semana El 3° deberia haber llegado ayer,, segun el seguimiento ayer llego a mi población,, no entiendo que no este en mi casa.",67518,Thu Nov 30 09:15:00 +0000 2017,"@131419 Buenos días, siento muchos por los inconvenientes con la entrega de tu pedido. Podrías, por favor, informarnos si tu pedido es vendido y enviado por Amazon o por un vendedor. ^CJ",,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,account_technical_support,0.16031562420582174
AQ-0054,89260,Thu Nov 30 19:57:40 +0000 2017,"@AmazonHelp ainda não, tem fila de espera.. estou terminando Doutor Sono 😄",89261,Thu Nov 30 20:09:30 +0000 2017,"@135303 Então me diga! Assim que terminar a leitura de ""Doutor Sono"", já sabe qual livro vai ler?. 😍🤔📚 ^NB",,other_ambiguous,"AI-assisted draft: message is non-actionable, off-taxonomy, conversational, or insufficiently specific; human verification required.",,,other_ambiguous,1,1,,other_ambiguous,0.15168686894288033
AQ-0055,71864,Wed Nov 29 10:39:22 +0000 2017,@AmazonHelp Please let me know a full and final date and time and i will check only after that. Hope this is not that difficult.,71863,Wed Nov 29 10:52:51 +0000 2017,"@132125 As informed earlier, our concern team is till working on your concern. We'll get back to you once we have an update on it. We request for your patience and understanding in this matter. ^HS",,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,account_technical_support,0.15899252375199022
AQ-0056,67509,Thu Nov 30 09:09:34 +0000 2017,"Surprised at how patronising, rude and unhelpful @115830's customer service is. Spent 30 minutes having my own words said back to me with no solution. Literally ""you have ordered this item"" - YES I KNOW. IT'S WHY I'M HERE.",67508,Thu Nov 30 09:16:28 +0000 2017,"@131417 Sorry to hear that, Dan. Without revealing any personal information, can you tell me a bit more about the issue?^TI",,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,1,1,customer service,account_technical_support,0.17863341873677993
AQ-0057,80601,Thu Nov 30 14:51:45 +0000 2017,@116875 Buen días,89160,Thu Nov 30 14:54:40 +0000 2017,"@135285 Hola Angeles Flores, ¿cómo te podemos ayudar? ^AZ",,other_ambiguous,"AI-assisted draft: message is non-actionable, off-taxonomy, conversational, or insufficiently specific; human verification required.",,,other_ambiguous,1,1,,account_technical_support,0.15729367714114695
AQ-0058,19214,Wed Nov 01 06:03:16 +0000 2017,"Can't change my new Email address with @115821 ! I'm repeatedly told: ""There was a problem with your Password""",19213,Wed Nov 01 06:16:26 +0000 2017,"@120230 Hi, sorry to hear that you're having trouble logging in. Please contact us here:https://t.co/jzvkhdlrK5 to look into this.^JJ",,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,3,3,"password, email, can't",account_technical_support,0.17028568659476584
